"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","78","Get multiple airports and validate structure","api","2026-02-18","passed","2026-02-18","Airport Gap API Tests","api/airportGap.spec.js","",""
"","158","Get list of airports","api","2026-02-18","passed","2026-02-18","Airport Gap API Tests","api/airportGap.spec.js","",""
"","50","Get airports with pagination","api","2026-02-18","passed","2026-02-18","Airport Gap API Tests","api/airportGap.spec.js","",""
"","24","Get specific airport by IATA code","api","2026-02-18","passed","2026-02-18","Airport Gap API Tests","api/airportGap.spec.js","",""
"","33","Calculate distance between two airports","api","2026-02-18","passed","2026-02-18","Airport Gap API Tests","api/airportGap.spec.js","",""
